Removed Pin From Net: NetName=Net16Mhz_1 Pin=ATmega16U2-1
Removed Pin From Net: NetName=Net16Mhz_2 Pin=ATmega16U2-2
Removed Pin From Net: NetName=GND Pin=ATmega16U2-3
Removed Pin From Net: NetName=VCC Pin=ATmega16U2-4
Removed Pin From Net: NetName=GND Pin=ATmega16U2-28
Removed Pin From Net: NetName=VCC Pin=ATmega16U2-31
Removed Pin From Net: NetName=VCC Pin=ATmega16U2-32
Removed Pin From Net: NetName=GND Pin=C1-1
Removed Pin From Net: NetName=VCC Pin=C1-2
Removed Pin From Net: NetName=GND Pin=C2-1
Removed Pin From Net: NetName=Net16Mhz_1 Pin=C3-1
Removed Pin From Net: NetName=GND Pin=C3-2
Removed Pin From Net: NetName=Net16Mhz_2 Pin=C4-1
Removed Pin From Net: NetName=GND Pin=C4-2
Removed Pin From Net: NetName=VCC Pin=ISP_16u2-2
Removed Pin From Net: NetName=GND Pin=ISP_16u2-6
Removed Pin From Net: NetName=NetPWR_1 Pin=R6-1
Removed Pin From Net: NetName=VCC Pin=R6-2
Removed Pin From Net: NetName=VCC Pin=UART-1
Removed Pin From Net: NetName=GND Pin=UART-6
Removed Pin From Net: NetName=VCC Pin=USB-1
Removed Member From Class: ClassName=GT_16u2 Member=ATmega16U2
Removed Member From Class: ClassName=GT_16u2 Member=C3
Removed Member From Class: ClassName=GT_16u2 Member=C4
Removed Member From Class: ClassName=GT_16u2 Member=R6
Change Component Footprint: Designator=C1 Old Footprint=CAPC0603(1608)100_L New Footprint=CAPC1608X90X40ML10T20
Change Component Footprint: Designator=C2 Old Footprint=CAPC0603(1608)100_N New Footprint=CAPC1608X90X40ML10T20
Change Component Footprint: Designator=R1 Old Footprint=RESC0603(1608)_N New Footprint=RESC1608X55X25NL10T15
Change Component Footprint: Designator=R2 Old Footprint=RESC0603(1608)_N New Footprint=RESC1608X55X25NL10T15
Change Component Footprint: Designator=RX Old Footprint=WE-150060VS75000_V New Footprint=1206_A
Change Component Footprint: Designator=TX Old Footprint=WE-150060VS75000_V New Footprint=1206_A
Change Component Comment : Designator=R1 Old Comment=22R 5% 0603(1608) New Comment=22R 1% 0603
Change Component Comment : Designator=R2 Old Comment=22R 5% 0603(1608) New Comment=22R 1% 0603
Change Component Comment : Designator=RX Old Comment=150060VS75000 New Comment=150120GS75000
Change Component Comment : Designator=TX Old Comment=150060VS75000 New Comment=150120GS75000
Change Component Comment : Designator=C2 Old Comment=CAP 1uF 50V 0603(1608) New Comment=22pF 50V 0603
Change Component Comment : Designator=C1 Old Comment=CAP 100nF 6.3V 0603(1608) New Comment=22pF 50V 0603
Change Managed Component Library Link : Designator=16MHZ Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=E1F6B393-3CCB-4E74-9C6B-9D3A982B05C2 Old RevisionGUID= New RevisionGUID=FF23DFA6-4F24-4717-977B-929664D617A7
Change Managed Component Library Link : Designator=C1 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=1DD4F9EC-1AB6-4170-9A38-0AFD53CA2667 Old RevisionGUID= New RevisionGUID=28F789EB-81FD-4765-B71A-276ECE5AAC3E
Change Managed Component Library Link : Designator=C2 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=1DD4F9EC-1AB6-4170-9A38-0AFD53CA2667 Old RevisionGUID= New RevisionGUID=28F789EB-81FD-4765-B71A-276ECE5AAC3E
Change Managed Component Library Link : Designator=PWR Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=1E49742B-4E3B-4A0D-A919-190BDDA81806 Old RevisionGUID= New RevisionGUID=E01B52E4-0A6A-4965-8702-3EEEF627EE7C
Change Managed Component Library Link : Designator=R1 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=CBF382B5-F79D-4C9A-8433-F26104C285EE Old RevisionGUID= New RevisionGUID=61EE0835-DAD3-494A-A91E-413904ACE297
Change Managed Component Library Link : Designator=R2 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=CBF382B5-F79D-4C9A-8433-F26104C285EE Old RevisionGUID= New RevisionGUID=61EE0835-DAD3-494A-A91E-413904ACE297
Change Managed Component Library Link : Designator=R3 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=D6FF6A2E-237B-4D32-86D1-1B9665B5CB39 Old RevisionGUID= New RevisionGUID=5919DCB2-6C32-4D73-A0F5-E31FD5A5471D
Change Managed Component Library Link : Designator=R4 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=77196DFD-07FC-4832-870F-46AC4696B664 Old RevisionGUID= New RevisionGUID=05C57F62-3278-43EE-8154-3D5C75F89934
Change Managed Component Library Link : Designator=R5 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=77196DFD-07FC-4832-870F-46AC4696B664 Old RevisionGUID= New RevisionGUID=05C57F62-3278-43EE-8154-3D5C75F89934
Change Managed Component Library Link : Designator=RX Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=BFAEAF46-64D6-4F88-A2DB-1F3E5014C5FB Old RevisionGUID= New RevisionGUID=F8D53525-D37B-4A79-9547-6691E9AEC5D9
Change Managed Component Library Link : Designator=TX Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=BFAEAF46-64D6-4F88-A2DB-1F3E5014C5FB Old RevisionGUID= New RevisionGUID=F8D53525-D37B-4A79-9547-6691E9AEC5D9
Change Managed Component Library Link : Designator=UART Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=33802D42-A73F-4FA2-AD8E-4F001AA1C6B2 Old RevisionGUID= New RevisionGUID=31D4FA92-CF1E-48EC-97B5-E0D4618BBD8A
Change component parameters: Designator = "C1" ("C1"); Footprint = "CAPC0603(1608)100_L"; UniqueID = "\QYXXOBCG" ("\QYXXOBCG")
Add component (AddParameter): Name = "Height"; Value = "1.2mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Illumination Type"; Value = "Non-Illuminated"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Insulation Resistance"; Value = "100MR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "4mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Current Rating"; Value = "50mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "70°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Voltage Rating (DC)"; Value = "12V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mechanical Life"; Value = "200000Cycles"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-25°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Operating Force"; Value = "1.5N"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Orientation"; Value = "Straight"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ratings"; Value = "Dust Proof"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Switch Function"; Value = "Off-Mom"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Switch Travel"; Value = "0.15mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Throw Configuration"; Value = "SPST"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "12V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Weight"; Value = "0.000776oz"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "3mm"; VariantName = "[No Variations]"
Added Component: Designator=U1(32A_M)
Add component (AddParameter): Name = "Code_JEDEC"; Value = "MS-026-ABA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer URL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.atmel.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "ATmega8U2/16U2/32U2 Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.atmel.com/dyn/resources/prod_documents/doc7799.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "ATmega8U2/16U2/32U2 Summary"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "http://www.atmel.com/dyn/resources/prod_documents/7799S.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "DatasheetVersion"; Value = "revD, Nov-2010"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageDescription"; Value = "32-Lead, 7x7x1.0 mm Body, 0.8mm Lead Pitch, Thin Profile Plastic Quad Flat Package (TQFP)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageReference"; Value = "32A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PackageVersion"; Value = "revC, Oct-2010"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RevisionNote"; Value = "DatasheetVersion & PackageVersion updated. URLs added."; VariantName = "[No Variations]"
Added Pin To Net: NetName=Net16Mhz_1 Pin=C1-1
Added Pin To Net: NetName=GND Pin=C1-2
Added Pin To Net: NetName=Net16Mhz_2 Pin=C2-1
Added Pin To Net: NetName=GND Pin=C2-2
Added Pin To Net: NetName=VCC Pin=F1-2
Added Pin To Net: NetName=NetPWR_1 Pin=R?-1
Added Pin To Net: NetName=Net16Mhz_1 Pin=U1-1
Added Pin To Net: NetName=Net16Mhz_2 Pin=U1-2
Added Pin To Net: NetName=GND Pin=U1-3
Added Pin To Net: NetName=VCC Pin=U1-4
Added Pin To Net: NetName=GND Pin=U1-28
Added Pin To Net: NetName=VCC Pin=U1-31
Added Pin To Net: NetName=VCC Pin=U1-32
Change Net Name : Old Net Name=NetR1_1 New Net Name=USBDM
Change Net Name : Old Net Name=NetR2_1 New Net Name=USBDP
Change Net Name : Old Net Name=VCC New Net Name=+5V
Added Pin To Net: NetName=NetF1_1 Pin=F1-1
Added Pin To Net: NetName=NetF1_1 Pin=USB-1
Added Net: Name=NetF1_1
Added Pin To Net: NetName=NetR3_1 Pin=R3-1
Added Pin To Net: NetName=NetR3_1 Pin=U1-24
Added Net: Name=NetR3_1
Added Pin To Net: NetName=NetRX_1 Pin=RX-1
Added Pin To Net: NetName=NetRX_1 Pin=U1-10
Added Net: Name=NetRX_1
Added Pin To Net: NetName=NetTX_1 Pin=TX-1
Added Pin To Net: NetName=NetTX_1 Pin=U1-11
Added Net: Name=NetTX_1
Added Pin To Net: NetName=USBDM-R Pin=R1-2
Added Pin To Net: NetName=USBDM-R Pin=U1-30
Added Net: Name=USBDM-R
Added Pin To Net: NetName=USBDP-R Pin=R2-2
Added Pin To Net: NetName=USBDP-R Pin=U1-29
Added Net: Name=USBDP-R
Added Pin To Net: NetName=VCC Pin=R?-2
Added Net: Name=VCC
Change Class Name : Old Net Name=GT_16u2 New Net Name=GT_16u2_Rev2
Added Member To Class: ClassName=GT_16u2_Rev2 Member=Component F1 MICROSMD050F-2
Added Member To Class: ClassName=GT_16u2_Rev2 Member=Component ISP TSW-103-08-F-D
Added Member To Class: ClassName=GT_16u2_Rev2 Member=Component R? 1K 5% 0603(1608)
Added Member To Class: ClassName=GT_16u2_Rev2 Member=Component RESET B3U-1000P
Added Member To Class: ClassName=GT_16u2_Rev2 Member=Component U1 ATmega16U2-AU
Added Room: Name=GT_16u2_Rev2
